Name,Total_annual_generation,Solar,Coal,Gas,Hydro,Oil,Wind,Waste,Biomass,Cogeneration,Geothermal,Nuclear,Other,Petcoke
Niger,686.0000000200001,0,1,0,0,5,0,0,0,0,0,0,0,0
Nigeria,30389.999999900003,0,0,9,3,0,0,0,0,0,0,0,0,0
North Korea,17322.000000956,0,15,0,15,0,0,0,0,0,0,0,0,0
Norway,141453.00000180496,0,0,5,291,0,10,0,0,0,0,0,0,0
Oman,28371.000001,0,0,9,0,0,0,0,0,0,0,0,0,0
Pakistan,104197.17141320999,0,1,13,11,14,2,0,0,0,0,2,0,0
Panama,9139.0,0,1,1,8,4,0,0,0,0,0,0,0,0
Paraguay,55275.999995,0,0,0,3,0,0,0,0,0,0,0,0,0
Peru,43676.00000215001,4,1,9,14,0,2,0,0,0,0,0,0,0
Philippines,65977.07780797301,1,12,3,16,15,2,0,2,0,9,0,0,0
Poland,158859.99999480005,0,44,6,5,1,2,0,1,0,0,0,0,0
Portugal,50681.49459457401,59,2,4,119,0,224,23,19,0,2,0,0,0
Qatar,38692.0000009,0,0,12,0,0,0,0,0,0,0,0,0,0
Romania,63068.99999879998,0,9,8,10,0,3,0,0,0,0,1,0,0
Russia,963355.0000263001,0,35,79,21,0,0,0,0,0,0,11,0,0
Saudi Arabia,229119.13811055,2,0,24,0,42,0,0,0,0,0,0,0,0
Senegal,3440.0000005100005,0,0,0,1,5,0,0,0,0,0,0,0,0
Serbia,33783.0000005,0,8,0,4,0,0,0,0,0,0,0,0,0
Singapore,48647.00000497999,0,0,8,0,3,0,3,0,0,0,0,0,0
Slovakia,24935.99999992,0,2,3,21,0,0,0,0,0,0,2,0,0
Slovenia,16869.0000001,0,3,1,3,0,0,0,0,0,0,1,0,0
South Africa,247054.13583592395,35,13,1,6,3,14,5,2,0,0,1,0,0
South Korea,532006.4507987602,13,12,31,36,3,12,4,2,0,0,6,0,0
Spain,278749.99999875994,28,15,58,124,26,341,15,1,0,0,5,0,0
Sri Lanka,12309.491572665,1,1,0,20,9,14,0,0,0,0,0,0,0
Sudan,11376.00000055,0,0,1,6,10,0,0,2,0,0,0,0,0
Sweden,149153.61727083402,0,0,3,142,1,9,0,8,0,0,3,0,0
Switzerland,63151.481454278,0,0,0,161,0,0,0,0,0,0,4,0,0
Syrian Arab Republic,21725.999999040003,0,0,8,3,7,0,0,0,0,0,0,0,0
Taiwan,255791.00000077306,0,3,9,10,1,7,0,0,0,0,3,0,0
Tajikistan,16000.0000015,0,1,0,8,1,0,0,0,0,0,0,0,0
Tanzania,6179.00000001,0,0,4,6,1,0,0,0,0,0,0,0,0
Thailand,165041.49755962798,113,4,32,10,0,2,0,5,0,0,0,0,0
Togo,137.0,0,0,1,1,1,0,0,0,0,0,0,0,0
Trinidad and Tobago,9891.000000001999,0,0,4,0,2,0,0,0,0,0,0,0,0
Tunisia,16918.321251854002,0,0,18,6,0,2,0,0,0,0,0,0,0
Turkey,250300.40277941796,1,23,21,28,3,8,0,0,0,10,0,0,0
Turkmenistan,20399.999999,0,0,5,0,2,0,0,0,0,0,0,0,0
Ukraine,180909.99999240003,0,15,2,10,0,0,0,0,0,0,4,0,0
United Arab Emirates,102164.96021776002,3,0,23,0,0,0,0,0,0,0,0,0,0
United Kingdom,338922.99999289034,1111,6,44,111,10,748,323,195,4,0,8,0,0
United States of America,4240016.938191735,938,425,1041,1432,1462,831,613,43,36,63,61,9,8
Uruguay,13011.000000023001,13,0,3,4,4,39,0,10,0,0,0,0,0
Uzbekistan,55399.9999978,0,2,6,6,1,0,0,0,0,0,0,0,0
Venezuela,97339.68991195002,0,0,34,8,0,0,0,0,0,0,0,0,0
Vietnam,132097.67125948702,0,22,9,157,6,2,0,2,0,0,0,0,0
Yemen,7646.0000003,0,0,1,0,6,0,0,0,0,0,0,0,0
Zambia,14452.00000019,0,1,0,5,7,0,0,1,0,0,0,0,0
Zimbabwe,9828.0,0,1,0,1,0,0,0,0,0,0,0,0,0
