Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,total
BENIN,156,159,166,191,199,207,211,220,231,1740
BOTSWANA,164,176,187,206,227,286,285,328,345,2204
CAMEROON,234,240,247,260,270,281,293,310,322,2457
EGYPT,2920,3085,3251,3456,3743,4213,4524,4669,4854,34715
ETHIOPIA,128,127,128,131,130,132,137,142,151,1206
KENYA,640,688,745,803,896,966,1018,1089,1175,8020
LIBYA,1479,1747,1800,1830,1850,2122,2229,2350,2476,17883
MAURITIUS,125,132,141,152,161,171,180,192,207,1461
MOROCCO,1979,2122,2259,2409,2596,2760,2920,3088,3248,23381
MOZAMBIQUE,171,193,213,213,276,315,324,340,364,2409
NIGERIA,1747,2829,2860,2920,2967,3090,3210,3330,3440,26393
SENEGAL,380,391,401,448,463,479,537,582,605,4286
SOUTH AFRICA,6872,7372,7803,8017,8221,8157,8404,8700,9013,72559
SUDAN,86,88,90,90,93,94,96,99,107,843
TANZANIA,82,90,160,312,317,321,330,340,345,2297
TOGO,148,148,153,154,155,158,162,168,174,1420
TUNISIA,974,1000,1050,1177,1220,1259,1269,1279,1330,10558
ZAMBIA,367,377,280,218,298,310,320,330,343,2843
ZIMBABWE,679,690,700,710,721,747,780,810,853,6690
